Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Aramac (S),0,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,374,
,Atherton (S),7,3,11,35,64,30,64,48,74,74,76,143,69,73,52,12,12,7,83,4028,
,Aurukun (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,
,Badu (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,
,Balonne (S),0,0,4,12,41,23,31,22,32,22,29,33,19,18,7,10,7,3,77,1849,
,Bamaga (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,
,Banana (S),9,4,24,51,123,59,95,57,111,91,115,145,67,104,62,26,16,17,193,4547,
,Barcaldine (S),0,0,4,16,32,9,17,18,10,7,3,8,0,3,8,0,0,0,18,728,
,Barcoo (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,239,
,Bauhinia (S),0,0,0,6,13,12,7,5,16,5,3,13,5,6,3,0,0,3,60,1129,
,Beaudesert (S),36,27,108,159,434,200,407,370,546,572,802,1239,999,1590,1108,523,231,125,881,12285,
,Belyando (S),3,26,30,29,42,16,35,28,38,15,50,61,43,112,51,24,5,15,104,3618,
,Bendemere (S),0,0,0,18,12,4,4,3,0,4,3,0,0,3,3,0,0,0,18,394,
,Biggenden (S),3,5,9,21,22,4,19,14,9,3,14,4,8,8,4,0,3,0,16,635,
,Blackall (S),0,3,0,29,36,7,12,8,5,5,3,0,3,0,0,0,0,3,23,753,
,Boigu (IC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,
,Boonah (S),3,6,18,35,90,49,68,60,79,69,93,90,67,71,51,25,12,8,86,2757,
,Booringa (S),0,0,7,16,24,3,14,3,6,3,0,4,3,3,5,0,0,9,33,819,
,Boulia (S),0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,230,
,Bowen (S),4,3,23,49,91,47,103,55,99,60,100,107,48,70,54,18,12,15,121,5259,
,Brisbane (C),883,430,1250,2056,4470,2283,4009,3854,5556,5880,7886,12110,10219,17302,13073,7414,5328,3408,8359,285089,
