Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Anmatjere (CGC),3,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,75,0,0,22,9,11,3,0,0,0,0,0,38,0,0,0,
,Arltarlpilta (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,Belyuen (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,
,Binjari (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
,Borroloola (CGC),0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,6,5,0,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,134,23,0,26,6,5,0,0,3,0,0,0,14,0,0,3,
,Coomalie (CGC),0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,9,0,0,0,3,0,10,3,49,7,0,4,0,0,4,0,0,3,0,0,0,0,3,4,0,19,0,0,210,8,10,0,0,3,0,0,6,4,0,0,0,
,Cox Peninsula (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Daguragu (CGC),0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,77,0,0,7,8,17,0,0,0,0,0,3,3,0,0,6,
,Darwin (C),13,0,35,4,7,110,3,0,10,55,3,94,19,145,74,71,273,91,111,365,379,105,158,39,90,0,616,1020,73,269,505,470,72,1565,2155,833,178,1995,663,5,209,585,0,398,17,27,487,410,298,201,13,765,3186,3,4959,1360,3,3238,2496,1099,140,264,233,809,19,438,895,0,0,244,
,Elliott District (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,8,3,4,0,0,0,0,0,0,6,0,0,0,
,Jabiru (T),0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,4,0,0,0,20,5,12,0,73,0,0,0,4,0,13,0,0,3,0,0,0,0,3,17,0,27,0,0,45,8,13,3,0,7,0,0,0,8,0,0,0,
,Jilkminggan (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,
,Katherine (T),0,0,43,18,0,0,0,0,0,0,0,0,0,7,3,3,15,5,3,7,9,8,8,8,6,0,73,93,0,29,30,23,0,191,140,63,16,190,55,0,0,11,0,55,0,0,31,35,9,3,0,34,161,0,298,580,0,345,267,184,23,11,17,20,0,40,80,0,0,20,
,Kunbarllanjnja (CGC),3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,29,9,17,8,0,3,0,0,0,8,0,0,12,
,Lajamanu (CGC),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,22,10,11,0,0,3,0,0,0,5,0,0,3,
,Litchfield (S),5,0,327,30,3,26,5,0,10,36,11,7,6,19,9,12,11,14,11,18,46,14,26,13,11,0,128,240,11,51,26,17,5,214,108,114,13,147,114,0,4,6,0,10,3,8,32,16,3,6,0,52,337,0,125,2425,0,342,81,79,3,0,65,20,3,83,422,0,0,52,
,Ltyentye Purte (CGC),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,14,6,32,0,0,5,3,0,0,0,0,0,11,
,Marngarr (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,
,Mataranka (CGC),0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
,Nauiyu Nambiyu (CGC),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,115,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,
,Numbulwar Numburindi (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,17,4,12,0,0,0,0,0,0,3,0,0,0,
,Nyirranggulung Mardrulk Ngadberre (CGC),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,101,0,0,20,17,24,0,0,20,0,0,0,5,0,0,14,
,Palmerston (C),3,0,3,0,3,3,0,0,9,6,3,16,11,16,6,19,19,19,12,83,81,30,69,16,6,3,214,218,11,51,91,27,7,413,374,157,39,125,143,0,3,0,9,3,7,10,24,51,8,3,0,93,214,0,537,24,0,571,96,269,11,18,29,54,0,85,111,0,0,47,
,Pine Creek (CGC),0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,9,16,0,0,0,0,0,0,3,0,0,5,
,Tapatjatjaka (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Tennant Creek (T),0,0,27,0,0,0,0,0,0,8,0,8,4,0,0,0,7,0,3,0,6,0,0,0,3,0,20,42,0,4,3,10,0,28,45,46,3,85,4,3,0,0,0,7,0,0,9,8,0,3,0,7,49,0,219,0,0,133,104,70,15,0,15,5,0,9,53,0,0,10,
,Thamarrurr (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,92,0,0,53,17,34,0,0,7,0,0,0,5,0,0,4,
,Timber Creek (CGC),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,5,0,32,0,0,3,0,0,0,7,0,0,3,
,Tiwi Islands (CGC),16,0,0,3,31,0,3,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,5,12,0,0,0,0,0,12,6,0,8,23,3,0,3,0,0,5,4,0,0,3,0,22,0,0,20,0,262,0,0,76,55,103,6,0,4,0,0,3,25,0,0,28,
,Walangeri Ngumpinku (CGC),3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,9,9,11,3,0,0,0,0,0,3,0,0,0,
,Wallace Rockhole (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
,Watiyawanu (CGC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,
,Yuendumu (CGC),3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,30,0,0,21,19,42,0,0,7,0,0,0,16,0,0,0,
,Yugul Mangi (CGC),26,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,131,0,0,38,12,58,6,0,5,3,0,0,3,0,0,11,
,Unincorporated NT,100,0,878,23,12,68,7,29,16,974,29,118,102,38,0,7,17,30,10,892,68,3,64,42,5,0,596,448,91,55,98,57,13,202,196,116,64,775,211,13,69,90,0,199,14,4,21,37,4,0,0,43,687,0,2327,234,0,633,353,654,30,14,105,29,0,26,389,0,0,203,
,No fixed address,9,0,26,20,3,48,0,0,10,25,5,26,15,20,3,3,9,6,3,23,32,9,29,7,0,0,402,753,34,3,28,13,4,24,68,32,17,78,93,3,18,39,0,60,0,3,33,5,0,4,0,21,297,0,66,64,0,67,40,46,12,4,34,19,3,76,28,0,0,63,
,NT Undefined,29,0,150,8,0,8,0,3,45,81,11,19,9,11,0,0,3,8,4,25,25,3,29,6,0,0,108,125,16,13,21,13,10,78,56,57,20,134,83,3,13,16,0,26,0,3,12,3,3,0,0,13,134,0,226,46,0,117,68,115,25,5,29,21,0,27,60,0,0,56,
,Canberra Undefined,5,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,0,0,0,0,41,51,3,0,0,0,0,3,8,3,6,15,14,0,0,0,0,0,0,0,8,3,5,0,0,0,34,0,131,67,0,19,10,7,7,0,0,7,0,5,20,0,0,11,
,Unincorporated ACT,123,0,261,201,53,8,10,3,5,0,20,8,5,406,160,363,1439,120,270,423,963,528,344,608,319,34,2764,3288,174,463,1388,1119,175,7175,9033,2534,584,7841,1811,19,11,353,4,1115,112,92,2298,1456,785,1385,44,2241,20390,33,45004,10808,60,15658,10368,5168,556,858,2555,2270,63,2371,5118,6,7,1618,
,No fixed address,26,0,8,12,6,3,0,0,0,0,0,3,0,41,3,17,17,16,14,16,47,10,19,26,9,0,839,1901,44,11,41,60,12,79,128,44,53,43,217,0,3,10,0,73,0,3,92,16,7,16,3,33,685,7,140,41,0,276,140,281,33,13,34,91,11,215,72,0,0,157,
,ACT Undefined,11,0,8,3,4,0,0,0,3,0,0,0,0,4,0,3,3,0,0,6,3,0,8,11,0,0,83,118,3,6,4,12,3,70,78,5,10,95,34,0,0,0,0,10,0,0,12,9,11,7,0,7,149,0,255,59,0,90,55,45,7,7,13,28,0,17,59,0,0,51,
,Unincorporated OT,0,0,3,0,0,0,0,0,0,0,93,0,3,0,0,0,0,12,0,0,10,0,7,17,10,0,101,37,8,14,0,0,0,20,18,10,0,69,18,0,8,9,0,37,0,9,13,5,0,0,0,5,71,0,120,200,0,131,54,17,5,0,41,0,0,4,36,0,0,36,
,No fixed address,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,Not applicable,0,10751106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
