lga,Not stated,Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described","Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec (includes Bisorio,Bougainvillian, Huli)","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec (includes Marianas Islander, Marshallese, Palauan)","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec (includes French Polynesian, Pitcairn Islander, Wallisian)","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec (includes Falkland Islander)",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec (includes Alsatian, Breton, Walloon)","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec (includes Faeroese, Greenlandic, Saami)","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec (includes Andorran, Galician, Ladin)","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec (includes Aromani, Karakachani)","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec (includes Adygei, Khanty, Nenets)","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,"Arab, nec (includes Baggara, Bedouin, Omani)",Jewish,"Other North African and Middle Eastern, nfd",Assyrian/Chaldean,Berber,Coptic,Iranian,Kurdish,Sudanese,Turkish,"Other North African and Middle Eastern, nec (includes Azande, Madi, Nubian)","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer,Lao,Thai,Vietnamese,Karen,Mon,"Mainland South-East Asian, nec (includes Arakanese, Chin, Shan)","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec (includes Iban, Irian Jayan, Sumatran)","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec (includes Hui, Manchu, Yi)","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec (includes Ainu, Menba, Xiareba)","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Tamil,Maldivian,"Southern Asian, nec (includes Gurkha, Kashmiri, Marathi)","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,"Central Asian, nec (includes Chechen, Circassian, Ingush)","People of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec (includes Aleut, Inuit, Metis)","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec (includes Arawak, Carib, Surinamese)","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec (includes Belizean, Honduran, Panamanian)","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec (includes Bahamian, Grenadian, Haitian)","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,"Central and West African, nec (includes Fang, Fulani, Kongo)","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Dinka,Hutu,Masai,Nuer,Tigrayan,Tigre,Zulu,"Southern and East African, nec (includes Afar, Namibian, Tutsi)"
Bellingen (A),733,6,0,0,0,7,0,0,0,0,4279,17,0,4,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5084,534,15,0,0,0,767,0,17,98,0,26,311,19,9,0,0,0,0,7,0,0,3,10,0,0,0,3,0,101,4,3,15,0,0,0,0,0,0,9,14,3,0,0,0,0,7,0,0,0,0,3,0,3,0,19,6,3,40,11,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berrigan (A),441,9,0,0,0,6,0,0,0,0,3073,7,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2949,392,19,0,0,0,598,0,4,76,0,4,132,3,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,97,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,6,0,6,6,0,5,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blacktown (C),22995,337,44,243,300,81,0,0,346,0,59721,333,23,11,0,1846,829,0,0,0,47,11,0,0,10,0,0,64,566,1156,59,2859,1365,0,3,186,6,5,11,32,58229,6183,254,0,4,0,8750,0,292,1616,0,457,3880,101,40,0,0,0,4,141,112,11,28,56,0,13,0,0,3,6262,6520,552,1537,0,0,7,97,364,27,2230,2538,337,3,19,284,3,1446,176,133,0,0,25,14,224,33,973,100,65,2057,533,89,437,0,0,5,550,0,1892,389,177,41,3554,0,15,454,0,296,0,9,9,18,0,833,0,154,632,420,1541,1947,31,6,0,6,495,0,134,46,248,973,15,0,10,0,19253,607,4,0,260,10,125,6,3,0,0,37,0,12,0,0,7376,45,4,0,117,1421,4,4,0,0,509,224,987,18,8,13179,7,151,1561,614,210,2330,488,0,58,0,1388,422,0,0,17,3,0,5,0,0,11,3,3,10,0,13,216,71,9,90,21,0,0,176,137,16,44,569,68,57,3,282,162,12,4,4,6,10,31,185,3,0,0,0,3,8,3,3,0,0,4,0,0,5,235,128,3,0,103,32,86,4,11,0,36,116,21,0,589,0,0,3,23,774,0,13,0,48,3,0,94,0,0,4,7,0,0,19
Bland (A),355,0,0,0,3,0,0,0,0,0,2572,3,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2247,239,0,0,0,0,383,0,0,24,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,7,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney (A),336,3,0,0,0,0,0,0,0,0,2671,8,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2561,225,10,0,0,0,464,0,0,38,0,9,95,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,37,9,0,6,0,0,0,0,0,0,3,3,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,3,0,16,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Mountains (C),4323,69,6,0,10,25,0,0,3,0,22258,34,0,0,0,63,235,0,0,0,4,0,0,0,0,0,0,3,9,32,0,12,4,0,0,0,0,0,10,7,29256,3412,206,4,4,0,5172,0,174,925,0,187,1841,74,18,0,0,0,10,92,44,0,42,52,0,4,0,0,0,1133,254,43,128,0,0,0,0,19,13,148,320,18,0,0,13,0,97,40,11,0,0,18,0,132,37,238,65,26,384,172,42,82,0,0,3,6,0,27,10,0,0,98,0,0,16,0,5,0,0,0,14,0,6,0,0,18,0,6,22,6,0,0,0,3,0,19,5,43,39,0,0,0,0,144,17,0,0,18,0,4,0,0,0,0,6,0,0,0,0,513,5,0,0,73,63,0,0,0,0,3,27,4,0,0,171,0,3,12,0,4,64,3,0,0,0,3,18,0,0,0,0,0,0,0,0,0,3,0,3,0,4,141,37,3,8,4,0,0,16,18,3,9,38,8,3,0,7,23,0,0,0,0,4,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,3,0,29,0,0,0,0,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Bogan (A),162,5,0,0,0,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,92,0,0,0,0,201,0,0,9,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombala (A),213,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,125,0,0,0,0,143,0,4,6,0,0,73,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,7,8,9,0,0,0,0,3,0,0,0,0,0,0,3,0,6,8,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boorowa (A),132,3,0,0,0,0,0,0,0,0,801,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,52,0,0,0,0,225,0,0,5,0,3,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botany Bay (C),3286,30,7,20,18,14,0,0,40,0,5989,43,0,0,0,323,156,0,0,0,22,0,0,0,0,0,0,5,32,81,39,69,258,0,3,0,0,0,3,3,5954,731,42,0,0,0,1454,0,37,91,3,67,380,14,7,0,0,0,0,20,11,0,6,20,0,5,0,3,0,1315,490,267,507,0,0,6,10,26,11,385,2455,118,3,6,30,0,298,20,77,0,0,4,0,54,0,145,9,13,161,302,24,78,0,0,7,68,4,207,66,4,0,396,4,12,11,10,35,0,0,0,49,0,351,0,14,105,10,23,662,22,0,0,0,8,0,20,7,122,157,0,0,6,0,831,353,0,0,90,0,53,0,0,0,0,8,0,3,0,0,2672,10,0,0,52,85,0,0,0,0,31,11,1051,0,0,657,0,8,127,25,0,116,11,0,5,0,69,154,4,7,3,0,0,0,0,4,0,0,0,0,0,4,35,7,0,33,0,0,0,112,68,18,41,282,68,48,0,87,65,0,0,3,0,7,3,14,6,0,0,3,0,8,3,0,0,0,0,0,0,0,4,0,0,0,0,0,10,3,0,0,4,0,11,0,30,0,0,3,0,84,0,0,6,4,0,3,0,0,0,0,0,0,0,3
Bourke (A),364,0,0,0,6,0,0,0,0,0,1355,102,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,80,0,0,0,0,156,0,0,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Brewarrina (A),228,0,0,0,0,0,0,0,0,0,788,326,0,4,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,28,0,0,0,0,71,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Hill (C),1977,9,0,0,8,3,0,0,3,0,7899,59,0,0,0,12,11,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6356,589,28,0,0,0,923,0,5,42,0,5,444,4,0,0,0,0,0,5,7,0,12,6,0,0,0,0,0,410,136,3,3,0,0,0,0,0,0,45,54,0,0,0,0,0,34,3,0,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,3,0,0,0,0,3,0,0,0,0,29,0,0,8,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Burwood (A),2748,25,4,6,9,3,0,0,17,0,3067,10,3,0,0,72,73,0,0,0,0,0,0,0,0,0,0,0,25,48,0,17,85,0,0,0,0,0,4,0,3533,395,12,0,0,0,1110,0,21,41,0,71,250,12,3,0,0,0,0,8,5,0,3,10,0,3,0,0,0,2994,85,139,150,0,0,0,8,16,0,352,1220,30,0,3,31,0,126,36,29,0,0,7,3,19,9,57,26,11,231,241,5,40,0,0,13,48,3,100,8,4,0,1498,0,4,25,0,64,0,7,0,3,0,22,0,12,18,4,17,75,0,0,0,0,75,0,15,4,84,229,0,0,8,0,321,60,0,0,24,0,0,0,0,0,0,8,0,4,0,0,6488,42,0,0,57,1456,5,4,0,0,38,14,85,0,5,1589,0,128,51,3,0,255,76,0,29,0,4,18,7,0,0,0,4,0,0,0,0,0,0,0,0,0,27,10,3,3,0,0,0,13,18,0,5,53,24,0,0,20,10,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,3,0,4,4,0,21,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron (A),2904,31,3,3,5,7,0,0,10,0,8236,23,4,0,0,29,87,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,12,4,10533,1101,69,0,0,0,2289,0,43,291,0,139,872,65,8,6,0,0,6,31,6,0,9,36,0,0,0,0,0,478,45,12,47,0,0,0,0,0,3,25,87,10,0,0,9,4,26,0,4,0,0,9,0,21,9,33,17,19,94,46,4,21,0,0,3,3,0,6,3,0,0,17,0,0,3,0,0,0,0,0,20,0,0,0,0,11,0,0,6,79,0,0,0,0,0,0,0,24,13,0,0,0,0,39,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,77,6,0,0,0,0,0,5,0,0,0,79,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,27,3,0,3,0,0,3,4,0,23,24,4,0,0,0,9,0,0,3,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabonne (A),733,9,0,0,0,0,0,0,0,0,4973,8,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4808,423,8,0,0,0,781,0,7,51,0,5,175,3,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,134,17,0,6,0,0,0,0,3,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,3,0,12,13,3,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camden (A),3000,43,6,7,21,4,0,0,8,0,15961,12,0,0,0,65,138,0,0,0,13,0,0,0,0,0,0,7,0,41,6,56,11,0,0,0,0,0,0,4,16381,1938,104,3,0,0,2590,0,59,298,0,78,997,9,3,0,0,0,0,34,34,4,5,20,0,4,0,0,0,2373,757,67,158,0,0,0,0,0,0,364,292,73,0,0,30,0,265,38,10,0,0,4,0,23,16,101,19,12,212,78,11,42,0,0,3,18,0,46,15,6,0,328,0,0,12,0,6,6,0,0,4,0,59,0,0,19,0,3,51,0,0,0,0,0,0,26,62,32,55,0,0,0,0,218,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,588,7,0,0,14,25,0,0,0,0,0,14,0,0,0,281,0,0,22,0,0,53,3,4,0,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,18,0,16,0,0,0,56,29,0,7,132,9,8,0,10,48,0,0,3,0,0,12,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14,0,10,0,0,0,0,0,67,0,3,0,15,118,0,0,5,7,0,0,0,0,0,0,0,0,0,0
Campbelltown (C),12522,165,13,46,78,31,3,3,233,0,36941,158,16,0,0,812,410,0,3,0,19,3,0,0,0,0,0,21,287,542,40,2140,590,3,3,8,0,5,5,27,39473,4310,213,0,4,0,5996,0,152,679,0,343,2368,36,13,0,0,4,5,80,109,3,33,36,7,3,0,0,0,2961,873,254,1064,0,0,3,22,172,16,911,1080,385,0,0,126,3,523,90,44,0,0,14,14,129,32,338,28,39,989,379,45,161,0,0,6,243,0,653,236,62,24,1980,0,11,176,0,188,0,0,0,10,0,98,0,36,127,11,40,159,9,0,0,4,24,9,425,919,243,783,0,0,3,0,3546,252,6,0,138,0,66,0,3,0,0,6,0,0,0,0,2614,17,0,0,47,94,8,0,0,0,129,117,1205,0,3,4128,3,62,434,100,12,411,43,3,25,0,205,40,0,0,0,0,0,8,0,3,0,0,0,14,0,9,104,30,8,64,10,0,3,192,116,13,20,718,31,28,0,127,131,3,0,3,8,10,45,111,0,0,0,3,0,7,4,0,0,0,4,0,0,0,36,16,0,0,0,0,21,0,9,0,17,33,3,0,459,0,0,19,6,665,0,3,0,18,0,3,0,0,0,0,0,0,0,6
Canada Bay (A),5512,50,7,4,4,18,0,0,14,0,11250,13,3,0,0,109,274,0,0,0,3,0,0,0,0,0,0,4,12,42,4,28,16,0,0,0,0,0,6,7,13421,1698,108,0,0,0,3973,0,87,231,0,128,814,40,11,0,0,0,3,39,24,0,18,43,0,3,0,0,0,10711,378,187,360,0,0,4,13,10,27,423,2349,69,0,10,28,0,220,81,65,0,0,12,5,48,25,180,46,35,296,230,30,76,0,0,5,58,0,219,14,11,0,1081,0,0,26,0,38,0,0,0,14,0,45,0,19,75,0,20,325,5,0,0,0,33,0,8,13,175,212,0,0,0,0,357,89,0,0,51,0,0,0,0,0,0,13,0,0,0,0,4961,39,0,0,103,1448,0,0,0,0,8,28,35,0,0,985,0,36,51,12,6,243,42,3,3,0,8,76,4,4,0,0,0,0,0,0,0,0,0,0,0,4,68,42,0,21,0,3,0,43,25,0,36,106,32,8,0,50,40,10,0,4,0,7,0,7,0,0,0,3,0,0,3,0,0,3,0,0,0,0,5,0,0,3,0,0,6,0,3,0,0,0,0,0,49,0,0,5,0,153,6,0,0,9,0,0,0,0,0,0,0,0,3,0
Canterbury (C),13962,170,8,57,190,27,3,0,200,0,12409,72,9,7,0,561,173,0,0,3,14,3,3,4,0,0,0,11,430,583,47,646,578,0,4,3,0,3,8,17,12835,1339,69,0,3,3,2804,0,70,183,0,252,860,32,23,0,0,0,0,28,38,0,7,23,4,6,0,4,0,6470,445,2212,649,0,0,10,46,141,20,485,13765,649,0,11,109,3,364,67,333,0,0,4,3,68,20,309,40,26,384,163,23,67,0,0,47,972,110,856,315,185,3,13551,28,42,483,0,525,26,14,6,21,0,54,11,85,102,66,244,605,13,3,0,0,239,0,36,42,226,3927,3,0,20,0,1824,1238,8,0,142,0,17,17,8,0,0,15,0,0,0,0,16240,23,0,0,119,2929,3,0,0,0,135,32,2080,0,8,2770,3,135,968,54,13,243,55,0,15,0,48,154,5,0,16,0,4,0,0,3,10,0,5,3,0,3,61,29,0,25,10,0,3,94,67,3,71,187,73,67,5,131,75,8,0,14,3,19,3,5,7,0,0,3,3,7,3,0,0,0,3,0,3,4,121,58,0,3,0,74,42,0,3,0,11,130,6,0,275,0,3,5,147,92,3,0,4,36,3,0,6,0,0,0,0,0,0,12
