lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfu/Darfurian,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi (Ma'di),Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Berrigan (A),0,0,2626,3,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3358,401,8,0,0,0,599,0,11,66,0,5,162,3,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,99,3,0,3,0,0,4,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,0,6,4,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,503
Blacktown (C),483,0,55950,427,26,15,0,1953,910,0,0,7,51,5,0,0,5,0,0,41,720,1348,82,3366,1776,3,10,255,4,4,5,27,65118,6321,286,0,4,0,9392,0,253,1589,3,435,3851,107,42,0,0,0,13,115,107,9,50,64,0,16,0,0,3,6406,6306,579,1504,0,0,306,107,348,37,2203,2522,340,3,29,300,3,1000,149,327,0,0,21,17,209,33,955,82,55,2053,638,97,387,0,3,74,679,6,2151,633,229,36,3897,0,21,504,0,338,0,15,0,3,0,0,0,24,98,4,0,79,0,251,1667,12,0,3,177,972,537,2199,403,610,0,0,19,9,0,0,650,0,138,64,409,1017,15,3,0,0,21,0,23628,816,8,0,310,0,118,3,0,0,0,31,0,54,0,0,9152,35,0,0,109,1499,3,15,0,9,827,255,400,0,26,20908,12,642,2710,993,1151,682,0,1389,82,2274,5,0,20,2244,398,28,894,23,42,0,2079,458,3,6,23,3,8,178,11,8,14,0,0,0,78,3,3,217,71,3,34,9,0,0,229,146,22,52,657,94,47,15,341,175,27,7,3,10,37,26,161,3,3,0,4,6,8,9,3,0,8,3,0,11,11,0,343,171,10,0,167,80,3,0,39,12,16,0,0,0,0,0,60,0,28,0,51,176,49,0,648,0,0,18,5,73,996,5,23,17,145,0,0,0,0,0,0,0,23,0,7,0,6,11,8,0,17,372,73,441,626,73,0,3,18933
Bland (A),5,0,2083,0,0,0,0,6,3,5,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2429,258,11,0,0,0,434,0,0,15,0,3,174,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,301
Blayney (A),0,0,2360,16,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950,263,13,0,0,0,531,0,4,45,0,6,97,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,61,9,0,3,0,0,3,0,0,0,6,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,9,0,9,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,462
Blue Mountains (C),3,0,19875,38,0,0,0,49,218,0,0,0,3,0,0,0,0,0,0,3,8,34,0,27,11,0,0,0,0,0,4,21,32065,3447,224,0,3,0,5767,0,156,879,0,206,1842,91,19,0,0,0,8,84,43,0,27,57,0,4,0,3,0,1164,291,35,160,0,0,52,0,22,15,178,343,9,0,0,20,3,52,43,20,0,0,12,3,142,25,260,58,37,415,177,41,80,0,0,3,17,0,32,10,0,0,107,0,0,14,0,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,25,0,19,10,9,0,0,9,0,0,0,6,0,28,3,74,59,0,0,0,0,0,0,194,24,0,0,23,0,0,0,0,0,0,3,0,0,0,0,625,4,0,0,96,62,0,11,0,0,3,19,5,0,0,178,0,11,19,0,0,0,0,5,0,8,0,0,0,51,0,0,3,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,12,0,4,136,42,8,3,3,0,0,24,30,0,17,67,16,3,0,12,31,0,0,0,0,8,0,0,0,4,0,0,3,0,3,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,45,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10,3,11,24,0,0,4459
Bogan (A),0,0,1086,5,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1123,81,0,0,0,0,199,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,264
Bombala (A),0,0,808,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1076,114,0,0,0,0,104,0,3,9,0,6,74,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,131
Boorowa (A),0,0,826,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,74,3,0,0,0,249,0,0,11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
Botany Bay (C),31,0,5784,35,0,0,0,245,149,0,0,0,3,0,0,0,0,0,0,14,28,70,57,55,249,0,0,0,0,0,0,6,6960,861,49,0,0,0,1648,0,44,103,3,98,425,9,9,0,0,0,4,14,13,0,8,11,0,4,0,0,0,1394,407,261,422,0,0,45,9,47,6,367,2414,134,4,10,43,0,264,22,200,0,0,17,9,53,6,130,17,16,169,320,23,99,0,0,7,71,3,215,69,4,0,385,12,8,24,36,35,3,0,0,0,0,0,0,117,4,0,0,0,0,0,19,0,0,0,12,120,15,813,392,21,0,0,27,0,5,0,10,0,29,13,187,191,0,0,0,0,3,0,892,510,0,0,163,0,45,0,3,0,0,12,0,4,0,0,3721,15,0,0,112,157,10,0,0,0,35,10,248,0,0,843,0,74,119,17,11,50,0,921,0,66,0,0,0,79,0,0,18,0,3,0,45,133,9,3,0,8,0,6,0,5,0,0,0,0,9,0,0,39,6,0,10,0,0,0,115,44,12,59,257,109,47,0,120,68,6,3,0,0,3,4,3,7,0,0,3,0,14,3,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,29,0,0,0,0,3,149,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45,12,28,17,21,0,0,2995
Bourke (A),0,0,1059,89,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,73,3,0,0,0,173,0,0,8,0,5,29,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,508
Brewarrina (A),0,0,491,628,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,323,33,0,0,0,0,77,0,3,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,138
Broken Hill (C),0,0,6548,37,0,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,7168,596,22,0,0,0,907,0,3,51,0,12,427,3,0,0,0,0,0,6,0,0,10,7,0,4,0,0,0,379,136,0,0,0,0,33,0,0,0,38,59,3,0,3,0,0,0,0,0,0,0,0,0,6,0,7,5,0,17,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,3,0,0,0,0,0,7,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,7,0,0,1689
Burwood (A),10,0,2654,8,0,0,0,51,61,0,0,0,7,0,0,0,0,0,0,0,10,49,3,36,103,0,0,0,0,0,0,5,3692,410,15,0,0,0,1066,0,15,52,0,72,245,9,3,0,0,0,0,9,7,0,3,13,0,0,0,0,0,2881,99,153,152,0,0,35,10,22,0,337,1106,52,0,0,31,0,65,34,72,0,0,0,3,16,3,55,23,17,203,197,4,25,0,8,10,53,0,125,3,13,0,1429,0,3,18,0,79,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,7,39,0,96,25,3,0,0,0,0,0,0,64,0,19,6,116,367,0,0,0,0,7,0,356,64,0,0,26,0,0,0,0,0,0,11,0,7,0,0,7964,46,0,0,67,1466,3,0,0,0,38,5,10,0,12,1606,0,946,62,4,3,29,0,75,0,9,0,0,0,188,33,0,84,14,3,0,5,17,5,0,0,3,0,0,0,0,0,6,0,0,7,0,4,8,4,0,0,0,0,0,19,14,0,12,55,18,3,0,45,13,0,0,0,0,3,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,12,5,3,0,0,2176
Byron (A),4,0,7191,32,0,3,0,27,100,3,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,8,12035,1233,68,0,4,0,2491,0,53,294,0,158,944,64,12,0,0,0,10,38,15,0,18,36,0,0,0,0,0,437,46,18,56,0,0,13,0,0,3,40,114,11,0,0,5,3,12,3,4,0,0,13,0,23,12,53,25,17,112,58,3,18,0,0,8,3,0,13,4,0,0,33,0,9,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,128,0,0,0,0,0,7,0,38,15,0,0,0,0,0,0,52,29,0,0,3,0,0,0,0,0,0,3,0,3,0,0,111,4,0,0,107,13,0,0,0,0,0,0,0,0,0,86,0,4,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,90,39,3,0,8,0,0,8,6,0,18,23,7,0,0,3,9,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,15,11,0,0,2095
Cabonne (A),3,0,4523,8,0,0,0,18,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5398,468,19,0,0,0,960,0,13,81,0,12,209,3,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,133,26,0,10,0,0,8,0,0,0,11,3,0,0,0,0,0,5,0,0,0,0,0,0,8,0,4,0,0,17,13,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,657
Camden (A),17,0,16185,35,3,0,0,105,151,0,0,0,10,0,0,0,0,0,0,3,7,56,3,103,33,0,0,0,0,0,0,22,20342,2186,109,0,0,0,2953,0,68,351,0,94,1040,15,5,3,0,0,10,33,33,0,15,18,0,0,0,0,0,2861,814,79,213,0,0,50,6,39,5,408,367,125,0,3,44,0,244,55,24,0,0,6,0,34,23,115,15,15,271,110,18,43,0,0,3,30,0,69,22,12,0,396,0,3,27,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,22,3,57,64,3,0,0,0,0,0,0,9,18,36,71,67,83,0,0,0,0,0,0,288,25,0,0,5,0,4,0,0,0,0,0,0,4,0,0,687,14,0,0,17,27,0,0,0,0,18,18,4,0,0,433,0,0,63,9,7,18,0,0,0,55,0,0,0,57,0,0,0,0,3,0,77,22,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,26,0,9,3,0,0,61,35,8,12,189,5,8,0,25,62,0,3,0,0,8,3,11,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,100,0,0,9,3,5,164,3,0,4,36,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,36,6,5,41,22,0,0,2850
Campbelltown (C) (NSW),297,0,33101,181,26,3,0,979,432,0,0,0,26,0,0,0,0,0,0,35,314,571,39,2722,728,7,5,0,0,3,3,22,40943,4428,210,3,8,3,6121,0,135,631,0,344,2410,31,17,0,0,0,6,85,98,0,27,30,0,8,0,0,0,2950,899,274,1039,0,0,120,25,149,26,836,1063,389,4,6,130,0,438,75,94,0,0,19,6,127,17,352,30,33,887,376,47,159,0,3,14,312,0,662,312,76,12,2153,0,6,187,0,227,4,3,0,0,0,0,0,9,5,0,0,12,0,25,69,0,0,0,78,134,21,143,109,18,0,0,21,7,0,0,40,4,520,966,332,816,0,0,0,0,0,0,4254,278,4,0,154,0,68,0,3,0,0,9,0,14,0,0,3030,12,0,0,60,122,9,0,0,0,258,83,446,3,3,5098,13,191,580,115,70,90,5,1813,13,690,0,0,6,407,63,3,67,3,16,0,241,36,0,0,12,0,0,13,0,0,0,0,0,0,58,0,10,104,32,5,30,11,0,0,181,155,25,28,806,57,29,3,141,162,4,0,8,4,3,49,102,3,0,0,3,0,19,3,0,0,0,0,0,0,4,0,59,17,11,0,0,12,0,0,0,0,9,0,0,0,0,0,8,0,7,0,36,38,6,0,461,3,0,7,11,8,777,4,0,4,76,3,3,0,0,0,0,0,10,0,0,0,0,0,3,4,10,205,23,90,170,39,0,3,10545
Canada Bay (A),3,0,10150,8,0,0,0,99,281,0,0,0,16,0,0,0,0,0,0,4,15,53,3,47,41,0,0,0,0,0,0,12,15656,1837,97,0,0,0,4230,0,86,270,0,179,863,45,13,0,0,0,3,54,28,3,21,47,0,3,0,0,0,11339,424,214,415,0,0,61,15,24,17,451,2542,111,0,14,43,5,243,93,172,0,0,7,3,60,15,199,46,25,363,268,42,79,0,4,24,98,12,275,34,13,0,1267,0,0,28,31,69,0,0,0,3,0,0,0,25,0,0,0,0,0,0,10,0,0,0,6,133,21,374,74,3,0,0,13,0,0,0,52,0,17,10,198,426,0,0,0,0,0,0,580,125,0,0,88,0,0,0,3,0,0,25,0,12,0,0,8299,54,0,0,159,2425,3,0,0,0,55,35,19,0,4,1643,0,180,94,4,6,20,0,45,0,31,0,0,0,260,44,3,69,0,4,0,16,112,3,0,0,4,0,0,0,0,0,0,0,0,10,0,0,80,46,4,4,3,0,0,57,37,5,73,120,89,18,0,58,33,22,0,3,0,28,3,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,15,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,3,0,61,0,0,0,0,0,176,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12,16,39,31,6,0,5431
