lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Plantagenet (S),27,2637,0,64,0,23,1496,25,603
Port Hedland (T),191,6765,92,398,5,144,3752,137,3557
Quairading (S),5,724,0,0,0,0,234,5,74
Ravensthorpe (S),28,1188,0,3,0,14,621,16,258
Rockingham (C),949,61116,206,492,61,491,30333,1037,9428
Roebourne (S),289,10292,179,142,17,135,6223,228,5404
Sandstone (S),0,45,0,0,0,0,26,0,33
Serpentine-Jarrahdale (S),179,10322,12,68,8,86,5228,174,1673
Shark Bay (S),12,494,0,0,0,7,261,0,81
South Perth (C),1331,23003,563,1242,89,379,10008,379,3745
Stirling (C),5728,113788,3519,5682,2986,1794,43302,1669,17238
Subiaco (C),487,8734,207,453,105,130,5517,184,1759
Swan (C),3067,63823,843,2872,274,660,26309,976,9636
Tammin (S),3,282,0,0,0,0,57,0,59
Three Springs (S),0,393,6,0,0,0,156,0,66
Toodyay (S),35,2500,3,7,3,37,1276,38,489
Trayning (S),0,216,0,0,0,0,100,7,17
Upper Gascoyne (S),0,84,0,0,0,0,130,0,35
Victoria Park (T),1131,16072,967,1405,36,467,8431,338,3579
Victoria Plains (S),4,604,0,0,0,0,192,5,85
Vincent (T),1133,15704,334,361,204,252,10034,355,3165
Wagin (S),9,1185,4,0,0,14,468,8,159
Wandering (S),5,294,0,0,0,4,104,8,30
Wanneroo (C),4512,91391,1555,3627,135,1053,36260,1232,12310
Waroona (S),23,2331,3,8,0,18,882,25,292
West Arthur (S),0,572,0,0,0,0,212,4,81
Westonia (S),0,189,0,0,0,0,62,3,18
Wickepin (S),0,438,0,0,0,0,234,9,74
Williams (S),3,576,0,0,0,4,247,6,75
Wiluna (S),13,654,10,5,0,5,289,29,159
Wongan-Ballidu (S),4,964,0,3,0,10,319,9,120
Woodanilling (S),4,285,0,0,0,0,99,0,33
Wyalkatchem (S),3,313,0,0,0,0,118,7,79
Wyndham-East Kimberley (S),79,4350,14,13,3,41,2143,66,1091
Yalgoo (S),3,199,0,0,0,3,103,4,84
Yilgarn (S),0,967,0,3,0,0,413,20,229
York (S),24,2030,0,6,0,24,934,22,360
Unincorporated WA,8,192,0,6,0,3,118,8,73
No Usual Address (WA),126,3280,27,42,10,49,2052,133,1582
Break O'Day (M),63,3676,7,3,0,30,1789,36,590
Brighton (M),54,9577,4,14,0,45,3912,100,1755
Burnie (C),104,11082,80,63,5,75,5594,136,2194
Central Coast (M),100,12740,13,9,4,69,6055,120,2245
Central Highlands (M),14,1543,0,0,0,19,448,20,224
Circular Head (M),30,4832,0,11,0,17,2091,49,949
Clarence (C),260,32482,119,87,15,178,13711,435,4548
Derwent Valley (M),38,6303,0,7,7,38,2343,92,884
Devonport (C),115,14690,44,31,9,94,7098,172,2366
Dorset (M),31,4285,0,0,0,22,1744,58,690
Flinders (M),6,445,0,3,0,6,214,3,104
George Town (M),28,4062,0,3,0,21,1897,37,589
Glamorgan/Spring Bay (M),32,2762,8,3,0,13,1017,24,336
Glenorchy (C),251,28506,308,276,9,237,10925,400,3752
Hobart (C),946,23251,397,696,72,367,18278,603,4085
Huon Valley (M),145,8163,7,32,3,91,5194,173,1336
Kentish (M),55,3445,6,13,0,41,1899,73,555
King Island (M),9,912,0,3,0,4,505,3,124
Kingborough (M),274,19219,70,74,51,171,11160,344,2535
Latrobe (M),61,6096,9,13,0,22,2707,59,868
Launceston (C),499,38415,406,278,35,328,18144,554,5532
Meander Valley (M),95,12631,18,8,7,63,4554,110,1410
Northern Midlands (M),39,8316,0,13,0,25,2860,44,930
Sorell (M),63,7904,3,11,3,46,3779,115,1268
Southern Midlands (M),24,4064,0,0,0,26,1327,44,563
Tasman (M),31,1213,0,0,0,11,795,24,268
Waratah/Wynyard (M),77,7993,3,4,3,48,4104,72,1401
