lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Wiluna (S),6,352,0,0,0,11,219,3,149
Wongan-Ballidu (S),10,787,0,0,0,7,439,3,85
Woodanilling (S),0,217,0,0,0,0,148,0,38
Wyalkatchem (S),5,244,5,0,0,0,175,0,84
Wyndham-East Kimberley (S),81,3327,25,15,0,62,2563,22,1057
Yalgoo (S),0,152,0,0,0,3,98,8,73
Yilgarn (S),4,675,0,3,0,0,321,4,186
York (S),18,1892,0,3,0,16,1202,13,463
No usual address (WA),89,2028,37,45,17,27,1944,55,1708
Migratory - Offshore - Shipping (WA),17,174,0,7,0,3,144,12,81
Break O'Day (M),69,3098,20,3,0,40,2230,38,603
Brighton (M),39,8221,7,16,0,49,6593,52,1531
Burnie (C),145,9644,62,57,0,65,7215,96,1613
Central Coast (M),98,11413,23,6,7,55,7795,90,1878
Central Highlands (M),4,1240,0,0,0,10,692,3,192
Circular Head (M),24,4408,5,6,3,33,2605,32,818
Clarence (C),335,28223,138,135,23,190,20952,241,4575
Derwent Valley (M),42,5457,12,14,6,36,3484,47,931
Devonport (C),192,12857,66,16,6,86,9133,98,2239
Dorset (M),27,3626,5,4,0,12,2292,23,636
Flinders (M),5,405,0,0,0,8,398,0,84
George Town (M),39,3380,4,6,0,25,2538,19,758
Glamorgan/Spring Bay (M),19,2468,6,3,0,10,1388,22,478
Glenorchy (C),381,23196,667,590,14,354,16463,223,4367
Hobart (C),880,18904,689,688,61,369,23795,335,4710
Huon Valley (M),127,7253,27,29,4,90,6932,99,1632
Kentish (M),36,3013,4,4,0,37,2329,49,655
King Island (M),3,713,0,4,0,3,675,0,178
Kingborough (M),316,16703,106,100,26,133,15417,225,2829
Latrobe (M),58,5969,4,26,6,42,3651,41,915
Launceston (C),732,31752,559,657,43,420,24328,390,6393
Meander Valley (M),102,10948,37,27,3,59,6338,70,1705
Northern Midlands (M),46,7315,0,15,3,24,4041,54,1322
Sorell (M),79,7104,18,14,4,42,5806,58,1289
Southern Midlands (M),18,3494,0,3,0,9,1904,22,588
Tasman (M),13,1037,0,0,4,11,965,13,326
Waratah/Wynyard (M),81,7055,16,12,4,54,4999,71,1293
West Coast (M),16,2262,8,0,0,18,1412,23,404
West Tamar (M),117,12025,64,49,15,94,8264,111,1983
No usual address (Tas.),19,303,3,0,0,5,370,10,202
Migratory - Offshore - Shipping (Tas.),0,31,0,0,0,0,32,0,3
Alice Springs (T),412,11380,345,165,18,355,8170,174,3713
Barkly (R),36,3587,28,16,0,423,1698,12,855
Belyuen (S),0,70,0,0,0,83,9,0,5
Central Desert (R),9,2575,0,4,0,218,524,9,339
Coomalie (S),15,469,0,6,0,33,475,3,311
Darwin (C),2624,35633,2409,1535,67,709,24961,522,10340
East Arnhem (R),18,7226,0,0,0,542,460,10,770
Katherine (T),86,4039,78,37,10,83,3078,64,2244
Litchfield (M),424,9769,39,65,5,77,8232,148,5093
